Title,DOI,Authors,Date,VectorNoPath,Pathogen_Disease,Overlap Pathogens,Vector,ISO_code,ISO_country,Region,Method,Category,Data,Host species,Human case data,Sampling method
Associations between dogs that were serologically positive for Rickettsia conorii relative to the residences of two human cases of Mediterranean spotted fever in Piemonte (Italy),https://doi.org/10.1016/S0167-5877(03)00079-5,Mannelli et al. ,2003,,Mediterranean spotted fever,,Rhipicephalus sanguineus,ITA,Italy,"Piemonte, Italy","Mapped MSF case totals by administrative unit, mapped seropositive dogs, K-function cluster analysis","Endemicity mapping,Grey data,Cluster analysis",Dogs tested for R. conorii,Domestic dog,,
Nairobi Sheep Disease Virus: a historical and epidemiological perspective,doi: 10.3389/fvets.2020.00419,Krasteva et al. ,2020,,Nairobi sheep disease,,"Haemaphysalis intermedia,Haemaphysalis longicornis",IND,India,"Central/East Africa, India, Asia",MaxEnt,"Ecological niche modeling,Grey data",Host serology and vector presence taken from literature,"Human,Sheep,Goat",,Systematic review
Geographical distribution modelling for Neospora caninum and Coxiella burnetii infections in dairy cattle farms in northeastern Spain, https://doi.org/10.1017/S0950268812000271,Nogareda et al.,2012,,Q fever,,,ESP,Spain,NE Spain,"MaxEnt, SaTScan","Ecological niche modeling,Cluster analysis",ELISA run on bulk milk samples,Cattle,,
"MaxEnt Modeling of Dermacentor marginatus (Acari: Ixodidae) Distribution in Xinjiang, China", https://doi.org/10.1093/jme/tjaa063,Huercha et al.,2020,checked,Q fever," Babesia , Theileria, Anaplasma, Rickettsia, Coxiella, Brucella, Borrelia burgdorferi, and a newly found Orthonairovirus",Dermacentor marginatus,CHN,China,"XUAR, China",MaxEnt,"Ecological niche modeling,Grey data",Tick records,,,Flagging and literature
The ecological niche of Dermacentor marginatus in Germany,DOI 10.1007/s00436-016-4958-9,Walter et al.,2016,checked,Q fever,"Tularemia, Rickettsia slovaca and R. raoulti",Dermacentor marginatus,DEU,Germany,Germany,Bioclim profile,"Grey data,Ecological niche modeling",Tick records from published dataset (Rubel et al. 2014),,,
"Review of 20 years of human acute Q fever notifications in Victoria, 1994–2013",doi: 10.1111/avj.12704,Bond et al. ,2018,,Q fever,,,AUS,Australia,"Victoria, Australia","mapped incidence, Gausian kernel density, SaTScan   ","Risk mapping,Cluster analysis",Reported human cases,Human,checked,
Q fever infection in dairy cattle herds: increased risk with high wind speed and low precipitation,doi: 10.1017/S0950268814003926,Nusinovici et al.,2015,,Q fever,,,SWE,Sweden,Sweden,"Mapped distribution of infected cattle herds, mapped PCA cluster analysis","Grey data,Cluster analysis",bulk milk tank samples tested for C. burnetii,Cattle,,
"Surveys on Coxiella burnetii infections in Swedish cattle, sheep, goats and moose",doi: 10.1186/1751-0147-56-39,Ohlson et al.,2014,,Q fever,,,SWE,Sweden,Sweden,SaTScan and mapped distribution of positive livestock,"Grey data,Cluster analysis",National livestock survey,"Cattle,Goat,Sheep,Moose",,
"The Sero-epidemiology of Coxiella burnetii in Humans and Cattle, Western Kenya: Evidence from a Cross-Sectional Study",doi: 10.1371/journal.pntd.0005032,Wardrop et al.,2016,,Q fever,,,KEN,Kenya,Kenya,Kernel Density estimation (smoothed surface) and mapped seroprevalence,"Grey data,Risk mapping",Human and livestock seropositivity,"Human,Cattle",,
Spatial analysis of positive and negative Q fever laboratory results for identifying high- and low-risk areas of infection in the Netherlands,doi: 10.3402/iee.v3i0.20432,van den Berg et al.,2013,,Q fever,,,NLD,the Netherlands,Netherlands,Mapped human incidence and positive goat farms,"Grey data,Prevalence mapping",Laboratory data and national livestock registry,"Human,Goat",checked,
Use of geographical information system and ecological niche model to analyse potential exposure of small ruminants to Coxiella burnetii infection in central Greece,https://doi.org/10.1016/j.smallrumres.2016.12.042,Valiakos et al. ,2017,,Q fever,,,GRC,Greece,Central Greece,MaxEnt,"Ecological niche modeling,Grey data",Seroprevalence of Coxiella burnetii in sheep and goats,"Sheep,Goat",,
"Seroepidemiology of Coxiella burnetii in Wild White-Tailed Deer (Odocoileus virginianus) in New York, United States",https://doi.org/10.1089/vbz.2011.0952,Kirchgessner et al.,2012,,Q fever,,,USA,the United States of America,"New York state, USA",mapped seropositive deer ,Grey data,Deer blood surveyed for antibodies,White-tailed deer,,
Improved correlation of human Q fever incidence to modelled C. burnetii concentrations by means of an atmospheric dispersion model,https://doi.org/10.1186/s12942-015-0003-y,van Leuken et al.,2015,,Q fever,,,NLD,the Netherlands,Netherlands,mapped incidence and spatial exposure models,"Grey data,Prevalence mapping,Risk mapping",Human cases  ,Human,checked,
A Probably Minor Role for Land-Applied Goat Manure in the Transmission of Coxiella burnetii to Humans in the 2007–2010 Dutch Q Fever Outbreak,https://doi.org/10.1371/journal.pone.0121355,van den Brom et al.,2015,,Q fever,,,NLD,the Netherlands,Netherlands,mapped human incidence and positive farms,"Grey data,Endemicity mapping","Reported human incidence, PCR screening of dairy farm manure and bulk milk samples","Human,Goat",checked,
Spatial transmission risk during the 2007-2010 Q fever epidemic in The Netherlands: Analysis of the farm-to-farm and farm-to-resident transmission,https://doi.org/10.1371/journal.pone.0227491,de Koeijer et al.,2020,,Q fever,,,NLD,the Netherlands,Netherlands,scaled and smoothed modeled tranmission risk,Risk mapping,Reported Q Fever presence on farms,Goat,,
Smooth incidence maps give valuable insight into Q fever outbreaks in The Netherlands,https://doi.org/10.4081/gh.2012.111,van der Hoek et al.,2012,,Q fever,,,NLD,the Netherlands,Netherlands,smoothed incidence map,"Grey data,Prevalence mapping,Risk mapping",Human cases and positive milk samples from farms,"Human,Goat,Sheep",checked,
"The seroprevalence of Coxiella burnetii in Erzincan, Turkey: Identification of the risk factors and their relationship with geographical features",PMID: 28748837,Cikman et al.,2017,,Q fever,,Hyalomma sp.,TUR,Turkey,Turkey,mapped cases   ,Grey data,Human cases via ELISA ,Human,checked,
"Integrating interdisciplinary methodologies for One Health: goat farm re-implicated as the probable source of an urban Q fever outbreak, the Netherlands, 2009",https://doi.org/10.1186/s12879-015-1083-9,Ladbury et al.,2015,,Q fever,,,NLD,the Netherlands,Netherlands,mapped cases and smoothed incidence,"Grey data,Risk mapping",Human cases and positive milk samples from farms,"Human,Goat",checked,
Comparative population genetics of two invading ticks: Evidence of the ecological mechanisms underlying tick range expansions,https://doi.org/10.1016/j.meegid.2015.08.009,Naldony et al.,2015,checked,Rickettsia parkeri,Lyme,Amblyomma maculatum,USA,the United States of America,SE US,Mapped haplotypes of ticks,"Genetic mapping,Grey data",Tick collections,,,Questing adult ticks
The evolving medical and veterinary importance of the Gulf Coast tick (Acari: Ixodidae),https://doi.org/10.1093/jme/tju022,Paddock et al.,2015,,Rickettsia parkeri,,Amblyomma maculatum,USA,the United States of America,USA,Mapped tick distribution and R. parkeri cases,"Endemicity mapping,Grey data","Published tick locations, museum collections",,,
"The Gulf Coast tick: a review of the life history, ecology, distribution, and emergence as an arthropod of medical and veterinary importance",https://doi.org/10.1093/jmedent/47.5.707,Teel et al. ,2010,checked,Rickettsia parkeri,,Amblyomma maculatum,USA,the United States of America,USA,Mapped tick distribution,Endemicity mapping,Published tick locations,,,
"The Epidemiology and Geographic Distribution of Relapsing Fever Borreliosis in West and North Africa, with a Review of the Ornithodoros erraticus Complex (Acari: Ixodida)",doi: 10.1371/journal.pone.0078473,Trape et al.,2013,,Relapsing fever,,Ornithodoros erraticus ,"TUN,DZA,MAR,MLI,MRT,SEN,ESH","Tunisia, Algeria, Morocco, Mali, Mauritania, Senegal, Western Sahara",western and northern Africa,"Mapped distribution of positive vector locations, and positive sites for Borrelia",Grey data,Ticks and small mammals screened for pathogens,"Rodent,Shrew,Hedgehog",,Rodent trapping
Ecological niche modeling and distribution of Ornithodoros hermsi associated with tick-borne relapsing fever in western North America,https://doi.org/10.1371/journal.pntd.0006047,Sage et al.,2017,,Relapsing fever,,Ornithodoros hermsi,USA,the United States of America,western USA,Maxent,"Ecological niche modeling,Grey data","human TBRF cases caused by B. hermsii, O. hermsi ticks occurrences, and rodents infected with B. hermsii ",Human,checked,Published literature and personal communications
"Geographical Distribution Patterns and Habitat Suitability Models for Presence of Host-Seeking Ixodid Ticks in Dense Woodlands of Mendocino County, California", https://doi.org/10.1093/jmedent/43.2.415,"L. Eisen, R. J. Eisen, R. S. Lane",2014,checked,Rocky mountain spotted fever,"lyme, tularemia, anaplasma",Dermacentor occidentalis,USA,the United States of America,California,SDM (logistic regression),"Ecological niche modeling,Grey data",tick occurrence,,,
"Modeling the Present and Future Geographic Distribution of the Lone Star Tick, Amblyomma americanum (Ixodida: Ixodidae), in the Continental United States",doi: 10.4269/ajtmh.15-0330,Springer et al.,2015,checked,Rocky mountain spotted fever,"Rickettsia (e.g., Rickettsia rickettsia, Rickettsia parkeri) and Ehrlichia (e.g., Ehrlichia chaffeensis, Ehrlichia ewingii), Francisella tularensis, and Heartland virus",Amblyomma americanum,USA,the United States of America,USA,"SDM (BRT, GLM, MARS, Maxent, RF)","Ecological niche modeling,Endemicity mapping",Tick occurrences,,,Published data
Modelling spatial concordance between Rocky Mountain spotted fever disease incidence and habitat probability of its vector Dermacentor variabilis (American dog tick),http://www.geospatialhealth.unina.it/articles/v7i1/gh-v7i1-10-atkinson.pdf,"Samuel F. Atkinson1,  Sahotra Sarkar2, Aldo Aviña3, Jim A. Schuermann4, Phillip Williamson5",2012,,Rocky mountain spotted fever,,Dermacentor variabilis,USA,the United States of America,Texas,Maxent,"Ecological niche modeling,Endemicity mapping"," tick occurrence data, and RMSF human case data",Human,checked,
"Predicting the potential distribution of Amblyomma americanum (Acari: Ixodidae) infestation in New Zealand, using maximum entropy-based ecological niche modelling",https://doi.org/10.1007/s10493-019-00460-7,Raghavan et al. ,2020,checked,Rocky mountain spotted fever,"Rickettsia parkeri, Ehrlichia chaffeensis (human monocytic ehrlichiosis pathogen) and E. ewingi (human ewingii ehrlichiosis pathogen), as well as Franciscella tularensis (tularemia pathogen) and Heartland virus ",,NZL,New Zealand,New Zealand,MaxEnt,"Ecological niche modeling,Grey data",Tick locations from WRBU,,,
Amblyomma ticks and future climate: Range contraction due to climate warming,https://doi.org/10.1016/j.actatropica.2017.07.033,Stefan Vilges deOliveiraabcDanielRomero-AlvarezdThiago FernandesMartinseJanduhy Pereira dosSantosfMarcelo B.LabrunaeGilberto SallesGazetacLuis E.EscobargRodrigoGurgel-Gonçalvesh,2017,checked,Rocky mountain spotted fever,,Amblyomma cajennense,BRA,Brazil,Brazil,"SDM, maxent","Ecological niche modeling,Grey data",tick occurrence,,,
"Current and potential future distribution of the American dog tick (Dermacentor variabilis, Say) in North America",https://doi.org/10.1016/j.ttbdis.2017.11.012,Jordan N.MiniganaHeather A.HageraAndrew S.PeregrinebJonathan A.Newmana,2018,checked,Rocky mountain spotted fever,Tularemia,Dermacentor variabilis,"USA,CAN,MEX","the United States of America, Canada, Mexico  ",North America,Maxent,"Ecological niche modeling,Grey data",tick occurrence,,,
"Prevalence, Distribution, and Development of an Ecological Niche Model of Dermacentor variabilis Ticks Positive for Rickettsia montanensis",https://doi.org/10.1089/vbz.2015.1856,"Heidi K. St. John, Melissa L. Adams, Penny M. Masuoka, Johanna G. Flyer-Adams, Ju Jiang, Patrick J. Rozmajzl, Ellen Y. Stromdahl, and Allen L. Richards",2016,,Rocky mountain spotted fever,,Dermacentor variabilis,USA,the United States of America,USA,Maxent,"Ecological niche modeling,Endemicity mapping,Grey data",positive ticks,,,
"The geographic distribution and ecological preferences of the A merican dog tick, D ermacentor variabilis (S ay), in the U.S.A.",https://doi.org/10.1111/mve.12099,A. M. JAMES  C. BURDETT  M. J. MCCOOL  A. FOX  P. RIGGS,2015,checked,Rocky mountain spotted fever,Tularemia,Dermacentor variabilis,USA,the United States of America,USA,MaxEnt,"Ecological niche modeling,Endemicity mapping,Grey data",tick occurrence,,,
Satellite Hyperspectral Imagery to Support Tick-Borne Infectious Diseases Surveillance,https://doi.org/10.1371/journal.pone.0143736,"Gina Polo ,Marcelo Bahia Labruna,Fernando Ferreira",2015,,Rocky mountain spotted fever,"*Brazilian Spotted Fever, not RMSF",,BRA,Brazil,Brazil,"SaTScan,Linear Spectral Unmixing Analysis, PCA","Grey data,Cluster analysis,Risk mapping",human cases,Human,checked,
Hierarchical Bayesian Spatio–Temporal Analysis of Climatic and Socio–Economic Determinants of Rocky Mountain Spotted Fever,https://doi.org/10.1371/journal.pone.0150180,"Ram K. Raghavan ,Douglas G. Goodin,Daniel Neises,Gary A. Anderson,Roman R. Ganta",2016,,Rocky mountain spotted fever,,"Dermacentor variabilis,Rhipicephalus sanguineus,Dermacentor andersoni",USA,the United States of America," Kansas, Missouri, Oklahoma and Arkansas in central United States","risk map, bayesian","Prevalence mapping,Risk mapping,Prevalence modeling",human cases,Human,checked,
"Assessing the current and future potential geographic distribution of the American dog tick, Dermacentor variabilis (Say) (Acari: Ixodidae) in North America",doi: 10.1371/journal.pone.0237191,Boorgula et al. ,2020,checked,Rocky mountain spotted fever,,Dermacentor variabilis,"USA,CAN,MEX","the United States of America, Canada, Mexico, Central America",North America,MaxEnt,"Ecological niche modeling,Grey data",Tick occurrences,,,Public database (GBIF)
Dermacentor reticulatus ticks (Acari: Ixodidae) distribution in north-eastern Poland: an endemic area of tick-borne diseases,doi: 10.1007/s10493-018-0274-7,Kubiak et al.,2018,checked,Tick-borne encephalitis virus,,Dermacentor reticulatus,POL,Poland,Poland,Mapped tick presence,"Endemicity mapping,Grey data",Tick occurrences,,,flagging
A case study on point process modelling in disease mapping,DOI: 10.5566/ias.v24.p159-168,Benes et al.,2005,,Tick-borne encephalitis virus,,,CZE,Czechia,Central Bohemia,"Mapped TBE cases , Bayesian log Gaussian Cox point process with covariates to map RR","Grey data,Risk mapping",TBE cases  ,Human,checked,
"Epidemiological characteristics and spatial analysis of tick-borne encephalitis in Jilin Province, China",DOI: https://doi.org/10.4269/ajtmh.18-0958,Zhao et al.,2019,,Tick-borne encephalitis virus,,,CHN,China,"Jilin Province, China","Mapped TBE cases, annual incidence, and Gi* statistic","Endemicity mapping,Cluster analysis,Prevalence mapping",TBE cases,Human,checked,
Predicting the spatial abundance of Ixodes ricinus ticks in southern Scandinavia using environmental and climatic data,doi: 10.1038/s41598-019-54496-1,Kjaer et al.,2019,checked,Tick-borne encephalitis virus,Lyme borreliosis,Ixodes ricinus,"NOR,SWE","Norway, Sweden",Scandinavia,BRT,"Ecological niche modeling,Risk mapping",Tick abundance,,,dragging
Impact of air temperature variation on the ixodid ticks habitat and tick-borne encephalitis incidence in the Russian Arctic: the case of the Komi Republic,doi: 10.1080/22423982.2017.1298882,Tokarevich et al.,2017,,Tick-borne encephalitis virus,,Ixodes persulcatus,RUS,the Russian Federation,"Komi Republic, Russia",Mapped TBE incidence,Endemicity mapping,TBE cases,Human,checked,Flagging
High-Throughput Procedure for Tick Surveys of Tick-Borne Encephalitis Virus and Its Application in a National Surveillance Study in Switzerland,DOI: 10.1128/AEM.00391-10,Gaumann et al.,2010,,Tick-borne encephalitis virus,,,CHE,Switzerland,Switzerland,Mapped cases,Endemicity mapping,TBE cases,Human,checked,
New endemic foci of tick-borne encephalitis (TBE) identified in districts where testing for TBE was not available before 2009 in Poland,doi: 10.1186/1756-3305-6-180,Stefanoff et al. ,2018,,Tick-borne encephalitis virus,,,POL,Poland,Poland,Mapped TBE cases over time,Endemicity mapping,TBE cases,Human,checked,
The importance of wildlife in the ecology and epidemiology of the TBE virus in Sweden: incidence of human TBE correlates with abundance of deer and hares,doi: 10.1186/s13071-018-3057-4,Jaensen et al.,2018,,Tick-borne encephalitis virus,,Ixodes ricinus,CAN,Canada,"Ontario, Canada",Mapped TBE infections,"Grey data,Endemicity mapping",,,,
"Epidemiology of tick-borne encephalitis in China, 2007- 2018",doi: 10.1371/journal.pone.0226712,Chen et al.,2019,,Tick-borne encephalitis virus,,Ixodes persulcatus,CHN,China,China,Mapped cases and hospitalizations,Grey data,TBE cases,Human,checked,
"Tick-borne encephalitis in Europe, 2012 to 2016",doi: 10.2807/1560-7917.ES.2018.23.45.1800201,Beaute et al.,2018,,Tick-borne encephalitis virus,,Ixodes ricinus,,Europe,Europe,Mapped prevalence,Endemicity mapping,Reported TBEV cases,Human,checked,
"Tick-Borne Encephalitis in Sheep, Romania",doi: 10.3201/eid2312.170166,Salat et al.,2017,,Tick-borne encephalitis virus,,Ixodes ricinus,ROU,Romania,Romania,Mapped seropositive sheep,Endemicity mapping,Sheep serum screened for pathogen,Sheep,,
"Geographical Environment Factors and Risk Assessment of Tick-Borne Encephalitis in Hulunbuir, Northeastern China",doi: 10.3390/ijerph14060569,Li et al.,2017,,Tick-borne encephalitis virus,,Ixodes persulcatus,CHN,China,China,"GWR model, Cluster analysis (Moran's I, Gi*), Empirical Bayes Smoothed (EBS) incidence ","Endemicity mapping,Risk mapping,Cluster analysis,Prevalence modeling",TBE cases,Human,checked,
Tick-Borne Encephalitis Virus and Its European Distribution in Ticks and Endothermic Mammals,doi: 10.3390/microorganisms8071065,Walter et al.,2020,,Tick-borne encephalitis virus,,Ixodes ricinus,CZE,Czechia,Czech Republic,Random Forest model and mapped occurrences ,"Endemicity mapping,Grey data,Ecological niche modeling",Tick and rodent TBEV detections,Rodent,,Published literature
Fragile transmission cycles of tick-borne encephalitis virus may be disrupted by predicted climate change,doi10.1098/rspb.2000.1204,Randolph and Rogers,2000,,Tick-borne encephalitis virus,,,,Europe,Europe,Maximum Likelihood,Risk mapping,TBEV from literature,Human,checked,
The ecology of ticks and epidemiology of tick-borne viral diseases,https://doi.org/10.1016/j.antiviral.2014.05.016,Estrada-Peña and Fuente,2014,,Tick-borne encephalitis virus,,,,Europe,Europe,"crude range map, with figures reproduced from other studies",Endemicity mapping,,,,
New foci of tick-borne encephalitis virus in Europe: consequences for travellers from abroad,https://doi.org/10.1016/j.tmaid.2003.07.001,Broker and Gniel,2003,,Tick-borne encephalitis virus,,,,Europe,Northern and Southern Europe,Georeferencing and mapping synthesis of reported cases from government surveillance and literature,Endemicity mapping,TBE cases,Human,checked,
Spatio-temporal variation of tick-borne encephalitis (TBE) incidence in the Czech Republic: Is the current explanation of the disease's rise satisfactory?,https://doi.org/10.1016/j.ttbdis.2010.05.003,"Zeman, Pazdiora, and Benes",2010,,Tick-borne encephalitis virus,,,CZE,Czechia,Czech Republic,Kernel density estimation and bootstrapping,"Risk mapping,Grey data",TBE cases,Human,checked,
Mapping the distribution of tick-borne encephalitis in mainland China,https://doi.org/10.1016/j.ttbdis.2017.04.009,Sun et al.,2017,,Tick-borne encephalitis virus,,,CHN,China,China,BRT,"Ecological niche modeling,Endemicity mapping,Grey data",TBE cases,Human,checked,
Modelling habitat suitability for occurrence of human tick-borne encephalitis (TBE) cases in Finland,https://doi.org/10.1016/j.ttbdis.2020.101457,Uusitalo et al,2020,,Tick-borne encephalitis virus,,,FIN,Finland,Finland,"Mapped TBE incidence, biomod model ensemble","Grey data,Risk mapping",TBE cases aggregated to presence/absence,Human,checked,
A tick-borne encephalitis ceiling in Central Europe has moved upwards during the last 30 years: Possible impact of global warming?,https://doi.org/10.1016/S1433-1128(04)80008-1,Zeman and Benes,2004,,Tick-borne encephalitis virus,,,CZE,Czechia,Czech Republic,"Mapped overlay with DEM, tested with Spearman rank correlation","Grey data,Risk mapping",TBE cases,Human,checked,
Effect of climate change on vector-borne disease risk in the UK,https://doi.org/10.1016/S1473-3099(15)70091-5,Medlock and Leach,2017,checked,Tick-borne encephalitis virus,,,GBR,United Kingdom of Great Britain and Northern Ireland,UK,Mapped tick surveillance records,Endemicity mapping,Ixodes ricinus,,,
Roe deer as sentinels for endemicity of tick-borne encephalitis virus,https://doi.org/10.1017/S0950268800058477,Gerth et al.,2009,,Tick-borne encephalitis virus,,Ixodes ricinus,DEU,Germany,Germany,Mapping cases,Grey data,TBE cases and seropositive roe deer,"Human,Deer",checked,
Predictive map of Ixodes ricinus high-incidence habitats and a tick-borne encephalitis risk assessment using satellite data,https://doi.org/10.1023/A:1006030827216,Daniel et al. ,1998,,Tick-borne encephalitis virus,,,CZE,Czechia,"Central Bohemia, CR",Remote Sensing and Kernel Smoothing,Risk mapping,TBE cases,Human,checked,
Geostatistics as predictive tools to estimate Ixodes ricinus (Acari: Ixodidae) habitat suitability in the western Palearctic from AVHRR satellite imagery,https://doi.org/10.1023/A:1006179318393,Estrada-Peña ,1999,checked,Tick-borne encephalitis virus,,,FIN,Finland,Europe  ,"mapped tick locations, co-kriging","Grey data,Risk mapping",Ixodes ricinus,,,
Epidemiological surveillance of tick populations: A model to predict the colonization success of Ixodes ricinus (Acari:Ixodidae),https://doi.org/10.1023/A:1007347811889,Estrada-Peña ,1997,checked,Tick-borne encephalitis virus,"Lyme borreliosis, Louping Ill",,"FRA,PRT,ESP","France, Portugal, Spain","France, Portugal, Spain",CLIPS inference model,Risk mapping,Ixodes ricinus dataset,,,
Studying the global distribution of infectious diseases using GIS and RS,https://doi.org/10.1038/nrmicro776,Rogers and Randolph,2003,,Tick-borne encephalitis virus,,,,Europe,Europe,Reprinted distribution model from Randolph 2000,Endemicity mapping,,,,
A Simple Spatial Model to Explain the Distribution of Human Tick-Borne Encephalitis Cases in Hungary,https://doi.org/10.1089/vbz.2006.6.369,Racz et al.,2006,,Tick-borne encephalitis virus,,,HUN,Hungary,Hungary,Linear regression with land cover maps,"Endemicity mapping,Risk mapping,Prevalence modeling",TBE incidence,Human,checked,
Tick-Borne Encephalitis in Mainland China,https://doi.org/10.1089/vbz.2008.0028,"Lu, Broker, and Lian",2008,,Tick-borne encephalitis virus,,,CHN,China,China,Mapped provinces with TBE cases,"Endemicity mapping,Grey data",TBE cases,Human,checked,
"Landscape Predictors of Tick-Borne Encephalitis in Latvia: Land Cover, Land Use, and Land Ownership",https://doi.org/10.1089/vbz.2009.0116,Vanwambeke et al. ,2010,,Tick-borne encephalitis virus,,,LVA,Latvia,Latvia,Incidence mapped by parishes,Prevalence mapping,TBE incidence,Human,checked,
Epidemiology of Tick-Borne Encephalitis in the Czech Republic 1970–2008,https://doi.org/10.1089/vbz.2011.0900,Kriz et al.,2012,,Tick-borne encephalitis virus,,,CZE,Czechia,Czech Republic,Mapping cases by district,Endemicity mapping,TBE cases,Human,checked,
The clinical and epidemiological profile of tick-borne encephalitis in southern Germany 1994–98: A prospective study of 656 patients,https://doi.org/10.1093/brain/122.11.2067,Kaiser,1999,,Tick-borne encephalitis virus,,,DEU,Germany,Germany,Mapped cases,Endemicity mapping,TBE cases,Human,checked,
A Density Map of the Tick-Borne Encephalitis and Lyme Borreliosis Vector Ixodes ricinus (Acari: Ixodidae) for Germany ,https://doi.org/10.1093/jme/tjw116,Brugger et al. ,2016,checked,Tick-borne encephalitis virus,,,DEU,Germany,Germany,Negative binomial regression,Risk mapping,"Ixodes ricinus, nymphs collected in field",,,
The shifting landscape of tick-borne zoonoses: tick-borne encephalitis and Lyme borreliosis in Europe,https://doi.org/10.1098/rstb.2001.0893,Randolph,2001,,Tick-borne encephalitis virus,,,,Europe,Europe,Logistic Regression,Endemicity mapping,TBE cases,Human,checked,
Sequence analysis and genetic classification of tick-borne encephalitis viruses from Europe and Asia,https://doi.org/10.1099/0022-1317-80-1-179,Ecker et al. ,1999,,Tick-borne encephalitis virus,,,RUS,"Europe, the Russian Federation",Europe and Asia,Mapped geographic distribution of viral isolate samples,"Grey data,Genetic mapping",TBE cases,Human,checked,
The tick Ixodes ricinus: distribution and climate preferences in the western Palaearctic ,https://doi.org/10.1111/j.1365-2915.2006.00622.x,"Estrada-Peña, Venzal, Acedo",2006,checked,Tick-borne encephalitis virus,,,,Europe,Europe,Ecological Niche Factor Analysis,Genetic mapping,Ixodes ricinus dataset,,,
"Determinants of tick-borne encephalitis in counties of southern Germany, 2001-2008",https://doi.org/10.1186/1476-072X-9-42,Kiffner et al.,2010,,Tick-borne encephalitis virus,,,DEU,Germany,Sourthern Germany,Negative Binomial Regression,"Endemicity mapping,Prevalence modeling,Risk mapping",TBE cases,Human,checked,
Changes in the geographical distribution and abundance of the tick Ixodes ricinus during the past 30 years in Sweden,https://doi.org/10.1186/1756-3305-5-8,Jaensen et al.,2012,,Tick-borne encephalitis virus,Lyme borreliosis,Ixodes ricinus,SWE,Sweden,Sweden,Mapped tick occurrences,"Endemicity mapping,Grey data",Ixodes ricinus dataset,,,survey quiestionnaire 
Effects of global changes on the climatic niche of the tick Ixodes ricinus inferred by species distribution modelling,https://doi.org/10.1186/1756-3305-6-271,Porretta et al.,2013,checked,Tick-borne encephalitis virus,,Ixodes ricinus,,Europe,Europe,MaxEnt,"Ecological niche modeling,Grey data",Ixodes ricinus dataset,,,Published dataset 
"Shaping zoonosis risk: landscape ecology vs. landscape attractiveness for people, the case of tick-borne encephalitis in Sweden",https://doi.org/10.1186/1756-3305-7-370,Zeimes et al.,2014,,Tick-borne encephalitis virus,,,SWE,Sweden,Sweden,BRT hazard models,"Grey data,Prevalence modeling,Risk mapping",TBE cases,Human,checked,
The first German map of georeferenced ixodid tick locations,https://doi.org/10.1186/s13071-014-0477-7,Rubel et al.,2014,checked,Tick-borne encephalitis virus,,,DEU,Germany,Germany,"Mapped tick locations, provided as an open dataset",Grey data,Georeferenced locations of ixodid ticks,,,
Impact of climatic change on the northern latitude limit and population density of the disease-transmitting European tick Ixodes ricinus,https://doi.org/10.1289/ehp.00108119,"Lindgren, Talleklint, and Polfeldt",2000,checked,Tick-borne encephalitis virus,,,SWE,Sweden,Sweden,Mapped tick occurrences,Endemicity mapping,Ixodes ricinus,,,
Forest Structure and Roe Deer Abundance Predict Tick-Borne Encephalitis Risk in Italy,https://doi.org/10.1371/journal.pone.0004336,Rizzoli et al.,2009,,Tick-borne encephalitis virus,,,ITA,Italy,Northern Italy,Map of provinces positive for TBE,"Endemicity mapping,Prevalence modeling",TBE cases,Human,checked,
Emergence of tick-borne encephalitis in new endemic areas in Austria: 42 years of surveillance,https://doi.org/10.2807/1560-7917.ES2015.20.13.21077,Heinz et al. ,2015,,Tick-borne encephalitis virus,,,AUT,Austria,Austria,"Mapped likely sites of infection, as determined by agency cases and questionnaires",Grey data,TBE cases,Human,checked,
"A Predictive Model Has Identified Tick-Borne Encephalitis High-Risk Areas in Regions Where No Cases Were Reported Previously, Poland, 1999–2012 ",https://doi.org/10.3390/ijerph15040677,Stefanoff et al. ,2018,,Tick-borne encephalitis virus,,,POL,Poland,Poland,"mapped TBE incidence, ZIP model","Prevalence mapping,Prevalence modeling",TBE incidence,Human,checked,
Model of Risk of Exposure to Lyme Borreliosis and Tick-Borne Encephalitis Virus-Infected Ticks in the Border Area of the Czech Republic (South Bohemia) and Germany (Lower Bavaria and Upper Palatinate) ,https://doi.org/10.3390/ijerph16071173,Honig et al. ,2019,,Tick-borne encephalitis virus,Lyme borreliosis,,"DEU,CZE","Germany, Czechia",Czech Republic and Germany,mathematical modeling of host-seeking ticks,"Grey data,Prevalence modeling",Ixodes ricinus sampled and screened for TBE,,,
Exposure of Wild Ungulates to the Usutu and Tick-Borne Encephalitis Viruses in France in 2009–2014: Evidence of Undetected Flavivirus Circulation a Decade Ago ,https://doi.org/10.3390/v12010010,Bournez et al. ,2020,,Tick-borne encephalitis virus,Louping Ill,,FRA,France,France ,mapped TBEV samples,Grey data,ungulate serum screened for TBEV,Wild ungulate,,
Promoting spatial data synthesis for vector-borne disease system assessment in Romania,http://rrrs.reviste.ubbcluj.ro/arhive/Artpdf/v10n22014/RRRS10220148.pdf,Sandru  ,2013,,Tick-borne encephalitis virus,,,ROU,Romania,Romania,TBE focal points plotted on environmental layers,Endemicity mapping,,,,
